Cue,Answer,face,emotion,gender,identity,mouth,ethnicity,base,move_1,move_2,move_3,compatibility,response_no,cue_width,cue_height,
,,A_male_2_BM09_BW/BM09_HC.jpg,happy,male,4,closed,african,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,A_male_2_BM09_BW/BM09_AO.jpg,angry,male,4,open,african,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,EA_male_1_AM07_BW/AM07_HO.jpg,happy,male,3,open,east asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,C_female_1_WF03_BW/WF03_AO.jpg,angry,female,5,open,caucasian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,SA_female_2_HF04_BW/HF04_HO.jpg,happy,female,6,open,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,EA_male_2_AM10_BW/AM10_HO.jpg,happy,male,4,open,east asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,EA_female_2_AF01_BW/AF01_AC.jpg,angry,female,2,closed,east asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,A_female_1_BF15_BW/BF15_AC.jpg,angry,female,1,closed,african,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,SA_male_2_HM10_BW/HM10_AO.jpg,angry,male,8,open,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,A_male_2_BM09_BW/BM09_AO.jpg,angry,male,4,open,african,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,EA_male_2_AM10_BW/AM10_HC.jpg,happy,male,4,closed,east asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,SA_female_2_HF04_BW/HF04_AC.jpg,angry,female,6,closed,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,SA_female_1_HF02_BW/HF02_AO.jpg,angry,female,5,open,south asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,SA_male_1_AM03_BW/AM03_HO.jpg,happy,male,7,open,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,EA_male_2_AM10_BW/AM10_AC.jpg,angry,male,4,closed,east asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,SA_male_2_HM10_BW/HM10_AO.jpg,angry,male,8,open,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
